1 Chronicles 16:34
1 Chronicles 16:8
1 Corinthians 1:30
1 Corinthians 13:4
1 Corinthians 13:5
1 Corinthians 13:7
1 Corinthians 6:2
1 Corinthians 9:26-27
1 John 1:10
1 John 1:9
1 John 2:17
1 John 2:3-4
1 John 3:1
1 John 3:17
1 John 3:17
1 John 3:8
1 John 4:12
1 John 4:16
1 John 4:19
1 John 4:19
1 John 4:9-10
1 John 5:14
1 Peter 1:15
1 Peter 1:8
1 Peter 2:12
1 Peter 3:3-4
1 Peter 3:8
1 Peter 4:10
1 Peter 4:8
1 Peter 5:7
1 Peter 5:8-9
1 Peters 5:7
1 Samuel 12:22
1 Samuel 16:7
1 Thessalonians 3:12
1 Thessalonians 4:9
1 Thessalonians 5:17
1 Thessalonians 5:18
1 Timothy 4:12
1 Timothy 4:7-8
1 Timothy 6:6-7
2 Chronicles 15:4
2 Chronicles 7:14
2 Corinthians 12:8-9
2 Corinthians 3:18
2 Corinthians 3:5
2 Corinthians 5:17
2 Corinthians 8:12
2 Corinthians 9:8
2 Corinthians 9:8-9
2 Timothy 1:8-9
2 Timothy 2:12
2 Timothy 2:13
2 Timothy 3:16
Acts 20:35
Colossians 1:11-12
Colossians 1:22
Colossians 2:6
Colossians 2:7
Colossians 3;3
Colossians 3:12
Colossians 3:12-13
Colossians 3:14
Colossians 3:17
Colossians 3:2
Colossians 3:23
Colossians 3:5
Colossians 4:2
Colossians 4:5-6
Deuteronomy 2:7
Deuteronomy 31:6
Deuteronomy 33:27
Deuteronomy 6:5
Deuteronomy 7:6
Deuteronomy 7:9
Ecclesiastes 12:13
Ecclesiastes 4:9-10
Epheisans 6:13
Ephesians 1:4
Ephesians 2:10
Ephesians 2:8-9
Ephesians 3:17
Ephesians 3:18-20
Ephesians 4:11-12
Ephesians 4:2
Ephesians 4:24
Ephesians 4:25
Ephesians 4:26
Ephesians 4:29
Ephesians 4:32
Ephesians 5:20
Ephesians 6:1
Ephesians 6:10
Exodus 34:14
Galatians 2:16
Galatians 6:7
Hebrews 10:21-22
Hebrews 10:23
Hebrews 10:24
Hebrews 11:1
Hebrews 11:3
Hebrews 12:6
Hebrews 13:1-3
Hebrews 13:5
Hebrews 13:8
Hebrews 2:18
Hebrews 4:15
Hebrews 4:16
Isaiah 1:18
Isaiah 25:1
Isaiah 25:8
Isaiah 26:3
Isaiah 26:8
Isaiah 40:29
Isaiah 40:31
Isaiah 41:10
Isaiah 57:15
Isaiah 58:10
Isaiah 6:3
James 1:12
James 1:17
James 1:19-20
James 1:2
James 1:5
James 2:10
